SN,ZONE,STATE,LGAs,NAME OF WARD (INEC),NAME OF WARD (STATE),HEALTH FACILITY,,,,,,,
58,SEZ,ABIA,IKWUANO,USAKA,USAKA,AKWETE,,,,,,,
59,SEZ,ABIA,ISIALA NGWA NORTH,AMAPU NTIGHA,AMAPU NTIGHA,OHAMAPU PHC,,,,,,,
60,SEZ,ABIA,ISIALA NGWA NORTH,AMASAA NSULU ,AMASAA NSULU,OHURU PHC,,,,,,,
61,SEZ,ABIA,ISIALA NGWA NORTH,AMASAA NTIGHA,AMASAA NTIGHA,AKIRIKA UKU,,,,,,,
62,SEZ,ABIA,ISIALA NGWA NORTH,IHIE,IHIE,AMATO UMUODUDU PHC,,,,,,,
63,SEZ,ABIA,ISIALA NGWA NORTH,ISIALA NSULU ,ISIALA NSULU,UMUEZEGU PHC,,,,,,,
64,SEZ,ABIA,ISIALA NGWA NORTH,MBAWSI/UMUOMAINTA,NBAWSI/UMUOMAINTA,BASIC HF,,,,,,,
65,SEZ,ABIA,ISIALA NGWA NORTH,NGWA UKWU 1 ,NGWA UKWU I,OKPUALA NGWA PHC,,,,,,,
66,SEZ,ABIA,ISIALA NGWA NORTH,NGWA UKWU II,NGWA UKWU II,AHIABA OKPUALA,,,,,,,
67,SEZ,ABIA,ISIALA NGWA NORTH,UMUNNA NSULU,UMUNNA NSULU,UMUOSU PHC,,,,,,,
68,SEZ,ABIA,ISIALA NGWA NORTH,UMUOHA,UMUOHA,URATTA PHC,,,,,,,
69,SEZ,ABIA,ISIALA NGWA SOUTH,"AKUNAEKPU, EZIAMA NA OBU",AKUNEKPU EZIAMA NA OBUBA,OBUBA PHC,,,,,,,
70,SEZ,ABIA,ISIALA NGWA SOUTH,AMAISE/AMAISE AHABA,AMAISE /AMAISE ANABA,UGBA PHC,,,,,,,
71,SEZ,ABIA,ISIALA NGWA SOUTH,EHI NA GURU OSOKWA,EHINAGURU OSOKWA,AMAIYI PHC,,,,,,,
72,SEZ,ABIA,ISIALA NGWA SOUTH,MBUTU NGWA,MBUTU NGWA,MBUTU NGWA HC,,,,,,,
73,SEZ,ABIA,ISIALA NGWA SOUTH,MBUTU UKWU,MBUTU UKWU,MBUTU UKWU,,,,,,,
74,SEZ,ABIA,ISIALA NGWA SOUTH,NGWAOBI,NGWAOBI,NGWAOBI,,,,,,,
75,SEZ,ABIA,ISIALA NGWA SOUTH,OKPORO AHABA,OKPORO AHABA,UMUAJUJU,,,,,,,
76,SEZ,ABIA,ISIALA NGWA SOUTH,OMOBA,OMOBA,OMOBA,,,,,,,
77,SEZ,ABIA,ISIALA NGWA SOUTH,OVUNGWU,OVUNGWU,AFRICARE,,,,,,,
78,SEZ,ABIA,ISIALA NGWA SOUTH,OVUOKWU,OVUOKWU,EKETA,,,,,,,
79,SEZ,ABIA,ISUIKWUATO,ACHARA/ MBAUGWU,ACHARA / MGBUGWU,ACHARA PHC,,,,,,,
80,SEZ,ABIA,ISUIKWUATO,EZERE,EZERE,EZERE HC,,,,,,,
81,SEZ,ABIA,ISUIKWUATO,IKEAGHA 1 ,IKEAGHA I,ONUAKU PHC,,,,,,,
82,SEZ,ABIA,ISUIKWUATO,IKEAGHA 11,IKEAGHA II,NVURUNVU,,,,,,,
83,SEZ,ABIA,ISUIKWUATO,IMEYI,IMENYI,OHIYINTA,,,,,,,
84,SEZ,ABIA,ISUIKWUATO,ISIALA-AMAWU,ISIALA AMAWU,AMABA PHC,,,,,,,
85,SEZ,ABIA,ISUIKWUATO,ISU-AMAWU,ISU AMAWU,UMUASUA HC,,,,,,,
86,SEZ,ABIA,ISUIKWUATO,OGUDUASA,OGUNDUASA,AMAIYI UHU PHC,,,,,,,
87,SEZ,ABIA,ISUIKWUATO,UMUANYI/ ABSU,UMUANYI / ABSU,MBAUGWU PHC,,,,,,,
88,SEZ,ABIA,ISUIKWUATO,UMUNNEKWU ,UMUNNEKWU 1,AGBO UMUNNEKWU,,,,,,,
