SN,ZONE,STATE,LGAs,NAME OF WARD (INEC),NAME OF WARD (STATE),HEALTH FACILITY,,,,,,,
2442,SSZ,EDO,AKOKO EDO,SOMORIKA / OGBE / SASARO / ONUMU / ESHAWA / OGUGU / IGBOSHI-AFE & ELE / ANYEGUNL,AIYEGUNLE,PRIMARY HEALTH CARE CENTER OGUGU,,,,,,,
2443,SSZ,EDO,AKOKO EDO,SOMORIKA / OGBE / SASARO / ONUMU / ESHAWA / OGUGU / IGBOSHI-AFE & ELE / ANYEGUNL,AIYEGUNLE,SOMORIKA,,,,,,,
2444,SSZ,EDO,AKOKO EDO,UNEME-NEKUA / AKPAMA / AIYETORO / EKPEDO / ERHURRUN / UNEME / OSU,UNEME,CLARA OSHIOMOLE COMP. CENTER UNEME-EKPEDO,,,,,,,
2445,,EDO,AKOKO EDO,ENWAN / ATTE / IKPESHI / EGBEGERE,ENWAN / ATTE / IKPESHI / EGBEGERE,ENWAN I PHC,,,,,,,
2446,,EDO,AKOKO EDO,IGARRA 11,IGARRA 11,IGARRA PHC,,,,,,,
2447,,EDO,AKOKO EDO,IMOGA / LAMPESE / BEKUMA / EKPE,IMOGA / LAMPESE / BEKUMA / EKPE,LAMPESE PHC ,,,,,,,
2448,SSZ,EDO,EGOR,OGIDA/ USE,OGIDA,PRIMARY HEALTH CENTER OGIDA,,,,,,,
2449,SSZ,EDO,EGOR,USELU 1,USELU 1,COMPREHENSIVE HEALTH CENTER EGUA-EDEIKEN,,,,,,,
2450,SSZ,EDO,EGOR,UWELU,UWELU,PRIMARY HEALTH CENTER UWELU,,,,,,,
2451,SSZ,EDO,ESAN CENTRAL,EWU 1,EHALEN,HEALTH CENTER EKO-EWU,,,,,,,
2452,SSZ,EDO,ESAN CENTRAL,EWU 11,EWU,HEALTH CENTER EGURE-EWU,,,,,,,
2453,SSZ,EDO,ESAN CENTRAL,IKEKATO,IKEKATO,PRIMARY HEALTH CARE CENTER UDOWO,,,,,,,
2454,SSZ,EDO,ESAN CENTRAL,IKEKATO,IKEKATO,PRIMARY HEALTH CENTER AGUA,,,,,,,
2455,SSZ,EDO,ESAN CENTRAL,OPOJI,OPOJI,HEALTH CENTER OPOJI,,,,,,,
2456,SSZ,EDO,ESAN CENTRAL,UGBEGUN,UGBEGUN,HEALTH CENTER EBUDIN,,,,,,,
2457,SSZ,EDO,ESAN CENTRAL,UNEAH,UNEAH,PRIMARY HEALTH CENTER ATUAGBO,,,,,,,
2458,SSZ,EDO,ESAN CENTRAL,UWESSAN 1,UWESSAN LL,PRIMARY HEALTH CENTER IBHIOLULU,,,,,,,
2459,SSZ,EDO,ESAN CENTRAL,UWESSAN 11,UWESSAN L,PRIMARY HEALTH CARE CENTER UNOGBO,,,,,,,
2460,SSZ,EDO,ESAN NORTH EAST,AMEDOKHIAN,AMEDOKHIAN,PRIMARY HEALTH CENTER AWO,,,,,,,
2461,SSZ,EDO,ESAN NORTH EAST,AMEDOKHIAN,OBIYON-AMEDOKHIAN,OBIYON PRIMARY HEALTH CENTER,,,,,,,
2462,SSZ,EDO,ESAN NORTH EAST,ARUE,ARUE,PRIMARY HEALTH CENTER ARUE,,,,,,,
2463,SSZ,EDO,ESAN NORTH EAST,EGBELE,EGBELE,PRIMARY HEALTH CENTER EGBELE,,,,,,,
2464,SSZ,EDO,ESAN NORTH EAST,OBEIDU,OBEIDU,PRIMARY HEALTH CENTER OBEIDU,,,,,,,
2465,SSZ,EDO,ESAN NORTH EAST,UBIERUMU,UBIERUMI-OKE,PRIMARY HEALTH CENTER IDUMOZA,,,,,,,
2466,SSZ,EDO,ESAN NORTH EAST,UWALOR,UWALOR-OKE,PRIMARY HEALTH CARE CENTER UWALOR-OKE,,,,,,,
2467,SSZ,EDO,ESAN NORTH EAST,UZBA,UZENEME,PRIMARY HEALTH CENTER UZENEME,,,,,,,
2468,SSZ,EDO,ESAN SOUTH EAST,EMU,EMU,PRIMARY HEALTH CENTER OROWA,,,,,,,
2469,SSZ,EDO,ESAN SOUTH EAST,EWATTO,EWATTO,PRIMARY HEALTH CENTER UHUMHENBHO,,,,,,,
2470,SSZ,EDO,ESAN SOUTH EAST,EWOHIMI 1,EWOHIMI L,PRIMARY HEALTH CENTEREGUARE EWOHINI,,,,,,,
2471,SSZ,EDO,ESAN SOUTH EAST,EWOHIMI 11,EWOHIMI LL,PRIMARY HEALTH CENTER OKEDE,,,,,,,
2472,SSZ,EDO,ESAN SOUTH EAST,ILLUSHI 11,ILLUSHI LL,PRIMARY HEALTH CENTER ILLUSHI LL,,,,,,,
2473,SSZ,EDO,ESAN SOUTH EAST,ILLUSHI I,ORIA,ORIA PHC 2,,,,,,,
2474,SSZ,EDO,ESAN SOUTH EAST,UBIAJA 1,UBIAJA L,PRIMARY HEALTH CENTEREGUARE UBIAJA L,,,,,,,
2475,SSZ,EDO,ESAN SOUTH EAST,UGBOHA,UGBOHA,PRIMARY HEALTH CENTER UGBOLA,,,,,,,
2476,SSZ,EDO,ESAN WEST,EGORO/IDOA/UKHUN,EGORO,PRIMARY HEALTH CENTER IDOA,,,,,,,
2477,SSZ,EDO,ESAN WEST,EMUHI/UKPENU/UJOELEN,UKPENU,"CENTRAL, PRIMARY HEALTH CENTER",,,,,,,
2478,SSZ,EDO,ESAN WEST,EMUHI/UKPENU/UJOELEN,EMUHI,UJOELEN PHC,,,,,,,
2479,SSZ,EDO,ESAN WEST,IRUEKPEN,IRUEKPEN,HEALTH CENTER IRUEKPEN,,,,,,,
2480,SSZ,EDO,ESAN WEST,IRURKPEN,JANE,"PRIMARY HEALTH CARE CENTRE, JAGBE",,,,,,,
2481,SSZ,EDO,ESAN WEST,UJIOGBA,UJIOGBA,PRIMARY HEALTH CENTER UJIOGBA,,,,,,,
2482,SSZ,EDO,ETSAKO CENTRAL,EKPERI I,UGBEKPE,PRIMARY HEALTH CENTER AZUKHALA,,,,,,,
2483,SSZ,EDO,ETSAKO CENTRAL,EKPERI II,OGBONERE,PRIMARY HEALTH CENTER OGOCHI,,,,,,,
2484,SSZ,EDO,ETSAKO CENTRAL,EKPERI III,OSOMEGBE,PRIMARY HEALTH CENTER OSOMEGBE,,,,,,,
2485,SSZ,EDO,ETSAKO CENTRAL,FUGAR I,IVNOME,PRIMARY HEALTH CENTER UNONE-FUGAR,,,,,,,
2486,SSZ,EDO,ETSAKO CENTRAL,FUGAR II,IVIARUA,PRIMARY HEALTH CENTER ARUA-FUGAR,,,,,,,
2487,SSZ,EDO,ETSAKO CENTRAL,FUGAR III,ADACHI WARD,PHC ADACHI,,,,,,,
2488,SSZ,EDO,ETSAKO CENTRAL,IRAOKHOR,IRAOKHOR,PRIMARY HEALTH CENTER IRAOKHOR,,,,,,,
2489,SSZ,EDO,ETSAKO CENTRAL,OGBONA,OGBONA,PRIMARY HEALTH CENTER OGBONA,,,,,,,
2490,SSZ,EDO,ETSAKO CENTRAL,SOUTH UWEME I,ANEGBETTE,PRIMARY HEALTH CENTER ANEGBETTE,,,,,,,
2491,SSZ,EDO,ETSAKO EAST,AGENEBODE,AGENEBODE,PRIMARY HEALTH CENTER IVIARI,,,,,,,
2492,SSZ,EDO,ETSAKO EAST,OKPEKPE,EBELLA,PRIMARY HEALTH CENTER EBELLA,,,,,,,
2493,SSZ,EDO,ETSAKO EAST,OKPELLA 1,OKPELLE I,PRIMARY HEALTH CENTER OKHASHE,,,,,,,
2494,SSZ,EDO,ETSAKO EAST,OKPELLA 11,OKPELLE II,PRIMARY HEALTH CENTER IMIEKURI,,,,,,,
2495,SSZ,EDO,ETSAKO EAST,OKPELLA 111,AFOKPELLA,HEALTH CENTER OGIROGA,,,,,,,
2496,SSZ,EDO,ETSAKO EAST,THREE IBIES,IMIEGBE,IMIEGBA PRIMARY HEALTH CARE CENTRE,,,,,,,
2497,SSZ,EDO,ETSAKO EAST,THREE IBIES,IMIEGBE,"ITSUKWI, PRIMARY HEALTH CARE CENTRE",,,,,,,
2498,SSZ,EDO,ETSAKO EAST,THREE IBIES,IMIEGBE,IMIAKEBU PRIMARY HEALTH CARE CENTRE,,,,,,,
2499,SSZ,EDO,ETSAKO EAST,WANNO 1,UZANU,PRIMARY HEALTH CENTER UZANU,,,,,,,
2500,SSZ,EDO,ETSAKO EAST,WANNO 11,WEPPSA-WANNO,PRIMARY HEALTH CENTER IGIODE,,,,,,,
2501,SSZ,EDO,ETSAKO WEST,ANWAIN,ANWAIN,PRIMARY HEALTH CENTER IDEGUN,,,,,,,
2502,SSZ,EDO,ETSAKO WEST,AUCHI 1,AUCHI 4,PHC AUCHI,,,,,,,
2503,SSZ,EDO,ETSAKO WEST,AVIELE,AVIELE,PRIMARY HEALTH CENTER UBIANE,,,,,,,
2504,SSZ,EDO,ETSAKO WEST,SOUTH IBIE,SOUTH IBIE,PRIMARY HEALTH CENTER SABO,,,,,,,
2505,SSZ,EDO,ETSAKO WEST,UZARUE N/E,UZAIARU NORTH EAST,PRIMARY HEALTH CARE CENTER APANA,,,,,,,
2506,SSZ,EDO,ETSAKO WEST,UZARUE N/E,UZAIARU NORTH EAST,PRIMARY HEALTH CARE CENTRE ULUOKE,,,,,,,
2507,SSZ,EDO,ETSAKO WEST,UZARUE S/E,UZAIRE SOUTH EAST,PRIMARY HEALTH CENTER IKABIGBO,,,,,,,
2508,SSZ,EDO,IGUEBEN,AFUDA,AFUDA,PRIMARY HEALTH CENTER AFUDA,,,,,,,
2509,SSZ,EDO,IGUEBEN,EKEKEHE/ IDUMOGO/EGBIKI,EKHEKHEN,PRIMARY HEALTH CENTER EKEKHEN,,,,,,,
2510,SSZ,EDO,IGUEBEN,EKPON,EKPON,PRIMARY HEALTH CENTER EKPON,,,,,,,
2511,SSZ,EDO,IGUEBEN,EWOSSA,EWOSSAN,PRIMARY HEATH CENTER EWOSSA,,,,,,,
2512,SSZ,EDO,IGUEBEN,OWU / OKUTA / EGUARE EBELLE,EGUARE,PRIMARY HEALTH CENTER EGUARE-IGUEBEN,,,,,,,
2513,SSZ,EDO,IGUEBEN,OWU / OKUTA / EGUARE EBELLE,EBELLE,PRIMARY HEALTH CENTER EBELLE,,,,,,,
2514,SSZ,EDO,IGUEBEN,UDO,UDO-EGUARE,PRIMARY HEALTH CENTER UDO-EGUARE,,,,,,,
2515,SSZ,EDO,IKPOBA OKHA,ADUWAWA,ADUWAWA,PRIMARY HEALTH CENTER EVBOMUDU,,,,,,,
2516,SSZ,EDO,IKPOBA OKHA,IDOGBO,UKHIRI,PRIMSRY HEALTH CENTER UKHIRI,,,,,,,
2517,SSZ,EDO,IKPOBA OKHA,IWOGBAN/ UTEH,UTE,PRIMARY HEALTH CENTER UTE,,,,,,,
2518,SSZ,EDO,IKPOBA OKHA,IWOGBAN/ UTEH,IWOGBAN,PRIMARY HEALTH CENTER IWOGBAN,,,,,,,
2519,SSZ,EDO,IKPOBA OKHA,OBAYANTOR,OGHEGHE WARD,OBAGIENEVBOSA PHC,,,,,,,
2520,SSZ,EDO,IKPOBA OKHA,OGBESON,AMUFI,PRIMARY HEALTH CENTER AMUFI,,,,,,,
2521,SSZ,EDO,IKPOBA OKHA,OGBESON,OGBESON,PRIMARY HEALTH CENTER OGBESON,,,,,,,
2522,SSZ,EDO,IKPOBA OKHA,OREGBENI,OREGBENI,PRIMARY HEALTH CENTER OREGBENI,,,,,,,
2523,SSZ,EDO,IKPOBA OKHA,UGBEKUN,UGBEKUN,PRIMARY HEALTH CENTER UGBEKUN,,,,,,,
2524,SSZ,EDO,OREDO,GRA/ETETE,IYEKOGBA,UGBOR PRIMARY HEALTH CARE,,,,,,,
2525,SSZ,EDO,OREDO,IKPEMA/EGUADASE,IKPEMA,IKPEMA PHC,,,,,,,
2526,SSZ,EDO,OREDO,NEW BENIN 11,NEW BENIN,PRIMARY HEALTH CENTER NEW BENIN,,,,,,,
2527,SSZ,EDO,ORHIOMWON,AIBIOKULA I,ABIOKUNLA I,OGAN PHC,,,,,,,
2528,SSZ,EDO,ORHIOMWON,AIBIOKULA I,ABIOKUNLA I,PRIMARY HEALTH CARE CENTER ABUDU,,,,,,,
2529,SSZ,EDO,ORHIOMWON,AIBIOKUNLA II,ABIOKUNLA II,PRIMARY HEALTH CARE CENTER OZA,,,,,,,
2530,SSZ,EDO,ORHIOMWON,EVBOESI,EVBOESI,PRIMARY HEALTH CARE CENTER EVBOESI,,,,,,,
2531,SSZ,EDO,ORHIOMWON,IGBANKE EAST,IGBANKE EAST,PRIMARY HEALTH CARE CENTER OLIGIE,,,,,,,
2532,SSZ,EDO,ORHIOMWON,UGBEKA,EVBOEHIGHAE,EVBOEHIGHAE PHC_,,,,,,,
2533,SSZ,EDO,ORHIOMWON,UGBOKO,UGBOKO,PRIMARY HEALTH CARE CENTER IGUODODO,,,,,,,
2534,SSZ,EDO,ORHIOMWON,UGU,UGU,PRIMARY HEALTH CARE CENTER URHEHURE,,,,,,,
2535,SSZ,EDO,ORHIOMWON,UKPATO,UKPATO,PRIMARY HEALTH CARE CENTER IGBEKHURE,,,,,,,
2536,SSZ,EDO,ORHIOMWON,URHONIGBE NORTH,URHONIGBE,PRIMARY HEALTH CARE CENTER UROHNIGBE,,,,,,,
2537,SSZ,EDO,OVIA NORTH EAST,ADOLOR,ADOLOR,PHC EKIADOLOR,,,,,,,
2538,SSZ,EDO,OVIA NORTH EAST,IGUOSHODIN,IGUOSHODIN,EGBEAN HEALTH POST,,,,,,,
2539,SSZ,EDO,OVIA NORTH EAST,ISIUWA,ISIUWA,PRIMARY HEALTH CARE CENTER UGBOIOGBO,,,,,,,
2540,SSZ,EDO,OVIA NORTH EAST,ODUNA,UGBINEH,UGBINEH,,,,,,,
2541,SSZ,EDO,OVIA NORTH EAST,OKADA EAST,OKADA EAST,IGUIYE PHC,,,,,,,
2542,SSZ,EDO,OVIA NORTH EAST,OKOKHUO,OKOKHUO,OKOKHUO PHC,,,,,,,
2543,SSZ,EDO,OVIA NORTH EAST,OLUKU,OLUKU,PRIMARY HEALTH CARE CENTER OLUKU,,,,,,,
2544,SSZ,EDO,OVIA NORTH EAST,UHEN,UHEN,PRIMARY HEALTH CARE CENTER UHEN,,,,,,,
2545,SSZ,EDO,OVIA NORTH EAST,UHIERE,UKHIRE,PRIMARY HEALTH CARE CENTER OWAN,,,,,,,
2546,SSZ,EDO,OVIA NORTH EAST,UHIERE,ODIGHI PHC,ODIGHI PHC,,,,,,,
2547,SSZ,EDO,OVIA NORTH EAST,UTOKA,UTOKA,HEALTH CLINIC UTOKA,,,,,,,
2548,SSZ,EDO,OVIA SOUTH WEST,IGUOBAZUWA EAST,IGUBAZUWA EAST,IGBUOBAZUWA PHC,,,,,,,
2549,SSZ,EDO,OVIA SOUTH WEST,NIKOROGHA,NIKOROGHA,PRIMARY HEALTH CARE CENTER NIKOROGHA,,,,,,,
2550,SSZ,EDO,OVIA SOUTH WEST,OFUNAMA,OFUNAMA,PRIMARY HEALTH CARE CENTER AJAKURANA,,,,,,,
2551,SSZ,EDO,OVIA SOUTH WEST,ORA,ORA,ORA PHC,,,,,,,
2552,SSZ,EDO,OVIA SOUTH WEST,UMAZA,UMAZA,USEN PRIMARY HEALTH CARE,,,,,,,
2553,SSZ,EDO,OVIA SOUTH WEST,USEN,USEN,USEN PRIMARY HEALTH CARE,,,,,,,
2554,SSZ,EDO,OWAN EAST,EMAI I,EMAI 1,REFERAL MEDICAL CENTER AFUZE,,,,,,,
2555,SSZ,EDO,OWAN EAST,EMAI II,EMAI IL,OVBIOWUN BASIC HEALTH CENTRE,,,,,,,
2556,SSZ,EDO,OWAN EAST,EMAI II,EMAI IL,PRIMARY HEALTH CARE CENTER OKPKHUMI,,,,,,,
2557,SSZ,EDO,OWAN EAST,IGUE/ IKAO,IGUE,PRIMARY HEALTH CARE CENTER IGUE-SALE,,,,,,,
2558,SSZ,EDO,OWAN EAST,IHIEVBE I,IHIEVEBE,PRIMARY HEALTH CARE CENTER UBUNEKE,,,,,,,
2559,SSZ,EDO,OWAN EAST,IHIEVBE II,"IHIEVBE 2, WARD 4",OTUA MODEL PHC,,,,,,,
2560,SSZ,EDO,OWAN EAST,IVBIADAOBI,IVBIADAOBI,PRIMARY HEALTH CARE CENTER OHAMNI,,,,,,,
2561,SSZ,EDO,OWAN EAST,OTUO I,OTUO L,PRIMARY HEALTH CARE CENTER OLUMA,,,,,,,
2562,SSZ,EDO,OWAN EAST,OTUO II,OTUO II,PRIMARY HEALTH CARE CENTER AMOYA,,,,,,,
2563,SSZ,EDO,OWAN EAST,UOKHA/ AKE,AKE,PRIMARY HEALTH CARE CENTER AKE,,,,,,,
2564,SSZ,EDO,OWAN EAST,WARRAKE,WARRAKE,PRIMARY HEALTH CARE CENTER AFARBAKHIRE,,,,,,,
2565,SSZ,EDO,OWAN WEST,AKHUSE- OSE,OGBAGUN,PRIMARY HEALTH CENTER OKKUFE/OSI,,,,,,,
2566,SSZ,EDO,OWAN WEST,AVBIOSI- OSI,AVBIOSI,PRIMARY HEALTH CARE CENTER AVBIOSI,,,,,,,
2567,SSZ,EDO,OWAN WEST,ERURERE,ERUERE,PRIMARY HEALTH CARE CENTER EURERE,,,,,,,
2568,SSZ,EDO,OWAN WEST,OZALLA,OZALLA,PRIMARY HEALTH CARE CENTER OZALLA,,,,,,,
2569,SSZ,EDO,OWAN WEST,SABONGIDA / ORA / OGBETURU,SABOGIDA-ORA,MICHAEL IMOUDU COMPREHENSIVE HEALTH CARE,,,,,,,
2570,SSZ,EDO,OWAN WEST,SABONGIDA / ORA / OGBETURU,SABOGIDA-ORA,HEALTH CENTER ATURURU,,,,,,,
2571,SSZ,EDO,OWAN WEST,SOBE,SOBE,PRIMARY HEALTH CARE CENTER SOBE II,,,,,,,
2572,SSZ,EDO,OWAN WEST,UHONMORA,UHUNMORA,PRIMARY HEALTH CARE CENTER UHUNMORA,,,,,,,
2573,SSZ,EDO,OWAN WEST,UZEBBA 1,UZEBBA I,PHC UZEBBA,,,,,,,
2574,SSZ,EDO,UHUMWONDE,EHOR,EHOR,PRIMARY HEALTH CARE CENTER EHOR,,,,,,,
2575,SSZ,EDO,UHUMWONDE,IRHUE,IRHUE,PRIMARY HEALTH CARE CENTER ORHUA,,,,,,,
2576,SSZ,EDO,UHUMWONDE,IRHUE,IRHUE,OKE PHC,,,,,,,
2577,SSZ,EDO,UHUMWONDE,ISI NORTH,ISI NORTH,PRIMARY HEALTH CAENTER OKHUOKHUO,,,,,,,
2578,SSZ,EDO,UHUMWONDE,OHUAN,OHUAN,PRIMARY HEALTH CENTER IGUEHANA,,,,,,,
2579,SSZ,EDO,UHUMWONDE,OHUAN,OHUAN,PRIMARY HEALTH CARE CENTER EVBOHUAN,,,,,,,
2580,SSZ,EDO,UHUMWONDE,UMAGBAE SOUTH,UMAGBAE SOUTH,PRIMARY HEALTH CARE CENTER IDUMWUNGHA,,,,,,,
2581,SWZ,EKITI,ADO,DALLINMORE,OPOPOGBOORO(DALLIMORE),BASIC HEALTH CENTRE OPOPO,,,,,,,
2582,SWZ,EKITI,ADO,FARM SETT,ODO,BHC ODO,,,,,,,
2583,SWZ,EKITI,ADO,IDOLOFIN,IJIGBO,BASIC HEALTH CENTRE IDOLOFIN,,,,,,,
2584,SWZ,EKITI,ADO,IDOLOFIN,IDOLOFIN,PRIMARY HEALTH CLINIC,,,,,,,
2585,SWZ,EKITI,ADO,IGBEHIN,AGO ADULOJU,PRIMARY HEALTH CLINIC EMIRIN,,,,,,,
2586,SWZ,EKITI,ADO,IJOKA,BASIRI,BHC BASIRI,,,,,,,
2587,SWZ,EKITI,ADO,IJOKA,IJOKA,BHC OKE ONIYO_,,,,,,,
2588,SWZ,EKITI,ADO,INISA,ODO-ADO(INISA),IDOFIN PRIMARY HEALTH CLINIC,,,,,,,
2589,SWZ,EKITI,ADO,INISA,ODO-ADO(INISA),BASIC HEALTH CENTRE ODO ADO,,,,,,,
2590,,EKITI,ADO,EREGURU,Ureje,IGIEGHUDU PHC,,,,,,,
2591,,EKITI,ADO,IDOFIN,Idofin,IDOFIN PRIMARY HEALTH CLINIC,,,,,,,
2592,,EKITI,ADO,IJIGBO,Ekute,BHC OKE Oniyo,,,,,,,
2593,SWZ,EKITI,ADO,IRONA,IRONA,BASIC HEALTH CENTRE IRONA,,,,,,,
2594,SWZ,EKITI,ADO,OKEILA,OKE-ILA,BASIC HEALTH CENTRE FEDERAL HOUSING,,,,,,,
2595,SWZ,EKITI,ADO,OKESA,OKESA,COMPREHENSIVE HEALTH CENTRE OKESA,,,,,,,
2596,SWZ,EKITI,ADO,OKEYINMI,OKEYINMI,FSP OKEYINMI,,,,,,,
2597,SWZ,EKITI,EFON,EFON I,EREKESAN-1(EFON I),COMPREHENSIVE HEALTH CENTRE EREKESAN,,,,,,,
2598,SWZ,EKITI,EFON,EFON III,IDAGBA-APERE-3(EFON III),BASIC HEALTH CENTRE ISAJA,,,,,,,
2599,SWZ,EKITI,EFON,EFON IV,ALAJO-SURULERE-4 (EFON IV),BASIC HEALTH CENTRE ITA IDO,,,,,,,
2600,SWZ,EKITI,EFON,EFON IX,ILORO-9 (EFON IX),BASIC HEALTH CENTRE ILORO,,,,,,,
2601,SWZ,EKITI,EFON,EFON V,OBAKE-5 (EFON V),BASIC HEALTH CENTRE OBAKE,,,,,,,
2602,SWZ,EKITI,EFON,EFON VI,IGBO-OLOFIN(EFON VI),BASIC HEALTH CENTRE IGBO OLOFIN,,,,,,,
2603,SWZ,EKITI,EFON,EFON II,ILUGBEKU(EFON II),BHC ILUBEKU,,,,,,,
2604,SWZ,EKITI,EFON,EFON VII,ALANAKA-7 (EFON VII),BASIC HEALTH CENTRE ALANAKA,,,,,,,
2605,SWZ,EKITI,EFON,EFON VIII,IWAJI-8 (EFON VIII),BASIC HEALTH CENTRE IWAJI,,,,,,,
2606,SWZ,EKITI,EFON,EFON X,ARAROMI-10(EFON X),BASIC HEALTH CENTRE ARAROMI,,,,,,,
2607,SWZ,EKITI,EK SOUTH WEST,IGBARA ODO I,OKE-ODE (IGBARA ODO I),COMPREHENSIVE HEALTH CENTRE IGBARA ODO,,,,,,,
2608,SWZ,EKITI,EK SOUTH WEST,IGBARA ODO II,ODO-GBARA(IGBARA ODO II0,BASIC HEALTH CENTRE IGBARA ODO,,,,,,,
2609,SWZ,EKITI,EK SOUTH WEST,ILAWE V,ADIN (ILAWE V),COMPREHENSIVE HEALTH CENTRE ADIN ILAWE,,,,,,,
2610,SWZ,EKITI,EK SOUTH WEST,ILAWE VI,OKE-EMO (ILAWE VI),BASIC HEALTH CENTRE OKE EMO,,,,,,,
2611,SWZ,EKITI,EK SOUTH WEST,ILAWE VII,IRO-OKELOYE-OKEPA(ILAWE VII),ALGON COMPREHENSIVE HEALTH CENTRE ILAWE,,,,,,,
2612,SWZ,EKITI,EK SOUTH WEST,ILAWEI,AAYE (ILAWE I),BASIC HEALTH CENTRE AAYE,,,,,,,
2613,SWZ,EKITI,EK SOUTH WEST,ILAWEII,IRORIN (ILAWE II),HEALTH POST IRORIN,,,,,,,
2614,SWZ,EKITI,EK SOUTH WEST,ILAWEIII,OKEBEDO-I (ILAWE III),HEALTH POST OKEBEDO I,,,,,,,
2615,SWZ,EKITI,EK SOUTH WEST,ILAWEIV,OKEBEDO-II (ILAWE IV),HEALTH POST OKEBEDO II,,,,,,,
2616,SWZ,EKITI,EK SOUTH WEST,OGOTUN I,IFAKIN (OGOTUN I),BASIC HEALTH CENTRE OGOTUN,,,,,,,
2617,SWZ,EKITI,EK SOUTH WEST,OGOTUN II,OKEMI (OGOTUN II),OGOTUN COMPREHENSIVE HEALTH CENTRE,,,,,,,
2618,SWZ,EKITI,EK WEST,ARAMOKE I,ARAMOKO-I,BASIC HEALTH CENTRE OKE OJA ARAMOKO,,,,,,,
2619,SWZ,EKITI,EK WEST,ARAMOKE II,ARAMOKO-II,COMPREHENSIVE HEALTH CENTRE IWARO ARAMOKO,,,,,,,
2620,SWZ,EKITI,EK WEST,ARAMOKE III,ERIO (ARAMOKO III),BASIC HEALTH CENTRE ERIO,,,,,,,
2621,SWZ,EKITI,EK WEST,ERIJIYAM I,ERIJIYAN-A,MODEL HEALTH CENTRE ERIJIYAN,,,,,,,
2622,SWZ,EKITI,EK WEST,ERIJIYAM II,ERINJIYAN-B,COMPREHENSIVE HEALTH CENTRE ERIJIYAN,,,,,,,
2623,SWZ,EKITI,EK WEST,IDO AJINARE,IDO-ILE( IDO AJINARE),COMPREHENSIVE HEALTH CENTRE IDO ILE,,,,,,,
2624,SWZ,EKITI,EK WEST,IKOGOSI,IKOGOSI,COMPREHENSIVE HEALTH CENTRE IKOGOSI,,,,,,,
2625,SWZ,EKITI,EK WEST,IPOLE ILORO,IPOLE-ILORO,BASIC HEALTH CENTRE IPOLE ILORO,,,,,,,
2626,SWZ,EKITI,EK WEST,OKEMESI I,OKEMESI-A,COMPREHENSIVE HEALTH CENTRE OKEMESI,,,,,,,
2627,SWZ,EKITI,EK WEST,OKEMESI II,OKEMESI-B,BASIC HEALTH CENTRE OKEMESI,,,,,,,
2628,SWZ,EKITI,EK WEST,OKEMESI III,OKEMESI-C,HEALTH POST OKO IRO,,,,,,,
2629,SWZ,EKITI,EKITI EAST,ARAROMI,ARAROMI,BASIC HEALTH CENTRE ARAROMI,,,,,,,
2630,SWZ,EKITI,EKITI EAST,ILASA I,ILASA I,BASIC HEALTH CENTRE ILASA,,,,,,,
2631,SWZ,EKITI,EKITI EAST,ILASA II IKUN/ARAROMI,ILASA II IKUN/ARAROMI,BASIC HEALTH CENTRE EDA ILE,,,,,,,
2632,SWZ,EKITI,EKITI EAST,ISINBODE,ISINBODE,COMPREHENSIVE HEALTH CENTRE ISINBODE,,,,,,,
2633,SWZ,EKITI,EKITI EAST,KOTA,KOTA,BASIC HEALTH CENTRE ISAYA KOTA,,,,,,,
2634,SWZ,EKITI,EKITI EAST,KOTA II,KOTA II,COMPREHENSIVE HEALTH CENTRE KOTA,,,,,,,
2635,SWZ,EKITI,EKITI EAST,OBADORE I,OBADORE I,BASIC HEALTH CENTRE IJERO OMUO,,,,,,,
2636,SWZ,EKITI,EKITI EAST,OBADORE II,OBADORE II,BASIC HEALTH CENTRE IWORO,,,,,,,
2637,SWZ,EKITI,EKITI EAST,OBADORE III,WARD-8 (OBADORE III),COMPREHENSIVE HEALTH CENTRE ILISA OMUO,,,,,,,
2638,SWZ,EKITI,EKITI EAST,OBADORE IV,WARD-9(OBADORE IV),BASIC HEALTH CENTRE ILUDOFIN,,,,,,,
2639,SWZ,EKITI,EKITI EAST,OMU-OKE,OMU-OKE,BASIC HEALTH CENTRE SURULERE OMUO,,,,,,,
2640,SWZ,EKITI,EKITI EAST,OMU-OKE II,OMU-OKE II,COMPREHENSIVE HEALTH CENTRE OMUOOKE 2,,,,,,,
2641,SWZ,EKITI,EMURE,IDAMUDU I,IDUMUDU ( IDAMUDU I),BASIC HEALTH CENTRE IDAMUDU,,,,,,,
2642,SWZ,EKITI,EMURE,IDAMUDU II,ARIYASI (IDAMUDU II),MODEL HEALTH CENTRE ARIYASI EMURE,,,,,,,
2643,SWZ,EKITI,EMURE,ODO EMURE I,ODO-EMURE I,CHILD WELFARE CLINIC ODO EMURE 2,,,,,,,
2644,SWZ,EKITI,EMURE,ODO EMURE II,ODO-EMURE II,BASIC HEALTH CENTRE ODO EMURE,,,,,,,
2645,SWZ,EKITI,EMURE,ODO EMURE III,IBEJI-SHITTU(ODO EMURE III),BHC IBEJI SHITTU,,,,,,,
2646,SWZ,EKITI,EMURE,ODO EMURE IV,OWODE-OSE (ODO EMURE IV),BASIC HEALTH CENTRE OWODE OSE,,,,,,,
2647,SWZ,EKITI,EMURE,OGBONTIORO I,OGBONTIORO I,BASIC HEALTH CENTRE OGBONTIORO,,,,,,,
